City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
meulaboh,100,1615066035,88,4.1363,96.1285,74.88,1.99
nichinan,75,1615066036,76,31.6,131.3667,53.6,17.27
kulhudhuffushi,0,1615066036,61,6.6221,73.07,81.79,4.94
obo,11,1615066036,27,5.3998,26.4869,76.73,4.43
anloga,20,1615066036,84,5.7947,0.8973,84.2,11.5
saint-augustin,100,1615065967,95,51.226,-58.6502,22.26,11.81
sibu,40,1615066096,100,2.3,111.8167,77.0,1.83
agadir,20,1615066096,82,30.4202,-9.5982,59.0,6.91
isangel,75,1615066097,74,-19.55,169.2667,82.4,6.91
lichtenburg,5,1615066097,50,-26.152,26.1597,64.8,6.73
shelburne,1,1615066097,42,44.0787,-80.2041,24.8,10.36
nabire,100,1615066097,89,-3.3667,135.4833,74.8,3.27
chippewa falls,1,1615065842,21,44.9369,-91.3929,48.2,4.61
bengkulu,100,1615065804,91,-3.8004,102.2655,73.96,5.3
caravelas,100,1615066023,80,-17.7125,-39.2481,79.3,9.73
porto novo,20,1615066097,84,6.4965,2.6036,86.0,14.97
yulara,40,1615066098,68,-25.2406,130.9889,73.4,3.44
dzaoudzi,100,1615065943,74,-12.7887,45.2699,84.2,13.8
fallon,75,1615065957,21,39.4735,-118.7774,55.4,8.79
mezen,78,1615066098,92,65.8522,44.24,-6.09,5.97
beringovskiy,45,1615066098,86,63.05,179.3167,-20.54,7.67
ponnani,20,1615066098,78,10.767,75.9252,77.0,1.14
taloda,0,1615066099,33,21.5667,74.2167,74.46,8.97
nemuro,8,1615066099,85,43.3236,145.575,20.53,16.96
belgrade,0,1615066099,60,44.804,20.4651,33.8,2.3
le port,75,1615066099,94,-20.9373,55.2919,80.6,18.41
casma,90,1615066099,88,-41.0082,-73.1244,68.0,1.83
camacha,40,1615066099,67,33.0833,-16.3333,60.8,18.41
clyde river,1,1615066100,64,70.4692,-68.5914,-14.8,17.27
collipulli,0,1615066100,30,-37.95,-72.4333,87.8,3.44
paita,0,1615066100,65,-5.0892,-81.1144,84.2,13.8
diego de almagro,0,1615066100,21,-26.3667,-70.05,82.87,12.1
ancud,90,1615065880,100,-41.8697,-73.8203,64.0,11.5
namibe,33,1615065941,82,-15.1961,12.1522,74.44,2.15
kuliyapitiya,75,1615066101,88,7.4688,80.0401,75.2,4.61
vestmanna,75,1615066101,93,62.1564,-7.1664,41.0,3.44
gualaquiza,58,1615066101,76,-3.4,-78.55,74.17,2.8
viedma,0,1615066005,23,-40.8135,-62.9967,95.11,11.01
